Player,Team,Min,G,MPG,OPM,DPM,Playing
Pau Gasol,sas,1900,76,25.128139994355067,0.4736319220999154,2.6526145215918717,1
Rudy Gay,sas,1632,68,23.788012705427434,0.17626633752244167,0.9292560592459607,1
Tony Parker,sas,1342,61,21.317862802807333,-0.8520062599049127,-1.5476828050713154,1
Bruno Caboclo,tor,257,78,3.006903353057199,-2.060749506903353,-0.9254437869822485,1
CJ Miles,tor,2128,76,28,0.3291242,-1.18213,1
Delon Wright,tor,1500,75,20.316017316017312,0.01535549242424238,0.46532058080808075,0
DeMar DeRozan,tor,2660,76,34.70353251898316,2.410337696709585,-0.9032283977110156,1
Fred VanVleet,tor,390,78,10.880090497737557,-0.8240293592436976,-0.2764680147058824,1
Jakob Poeltl,tor,1404,78,17.190221925579845,-0.18531068329718012,1.4235912147505423,1
Jonas Valanciunas,tor,2002,77,23.617908052487493,-0.6425897196261681,0.1700228452751817,1
Kennedy Meeks,,0,0,0,-2.1017947,0.72665226,1
KJ McDaniels,,0,0,0,-1.6114563,-0.28474212,1
Kyle Lowry,tor,2736,76,34.19868970970292,4.671994860499265,0.293368906020558,1
