Player,Team,OPM,DPM
Tyler Ulis,PHX,-0.96623325,-2.2852345
Derrick Jones Jr.,PHX,-1.0992366,-0.17063166
Brandon Knight,PHX,-0.12853503,-2.2855716
TJ Warren,PHX,-0.033016205,-1.1903296
Alan Williams,PHX,-1.4772186,0.94637543
Josh Jackson,PHX,-1.063949,0.032183405
Alex Len,PHX,-2.7806263,1.7830538
Elijah Millsap,PHX,-2.3805242,-0.20694822
Alec Peters,PHX,-2.1565084,-1.1352651
Troy Daniels,PHX,0.031437159,-2.3931723
Davon Reed,PHX,-1.9374382,-1.1280274
Dragan Bender,PHX,-2.2179444,0.49358842
Mike James,PHX,,
Damian Lillard,POR,4.8907537,-2.0005076
Evan Turner,POR,-1.9800797,0.11292586
Archie Goodwin,POR,-0.40490437,-1.558745
CJ McCollum,POR,2.6656594,-1.5637548
Maurice Harkless,POR,-0.15954727,0.66010064
Pat Connaughton,POR,-1.0892212,-0.94351238
Shabazz Napier,POR,-0.33464742,-1.3828813
Al-Farouq Aminu,POR,-0.85367692,1.8932393
Isaiah Briscoe,POR,-1.9226485,-1.9140025
Jake Layman,POR,-1.9148438,-0.44760281
Meyers Leonard,POR,-1.146341,-0.13801406
Ed Davis,POR,-1.2560458,1.0641372
Noah Vonleh,POR,-2.560231,0.60092765
CJ Wilcox,POR,-0.79285562,-0.84110439
Anthony Morrow,POR,-0.82058561,-1.9973401
Jusuf Nurkic,POR,-1.7608926,2.8158762
Zach Collins,POR,-2.4680514,0.63460785
Caleb Swanigan,POR,-1.3134043,-0.78873795
Reggie Hearn,SAC,,
Reggie Hearn,SAC,,
Willie Cauley-Stein,SAC,-1.50226,1.2181382
George Hill,SAC,1.6758734,-0.20552485
De'Aaron Fox,SAC,-0.84206307,-1.4670297
Skal Labissiere,SAC,-1.1834978,0.084873363
Bogdan Bogdanovic,SAC,-0.68664682,-0.93931675
Matt Jones,SAC,,
Frank Mason,SAC,-0.36210752,-2.5704715
Georgios Papagiannis,SAC,-2.0325727,0.77525854
Vince Carter,SAC,-1.6531641,-0.22167492
Garrett Temple,SAC,-1.2528923,0.1779934
Harry Giles,SAC,-2.1457605,0.43224007
Malachi Richardson,SAC,-2.0294251,-1.1859611
Buddy Hield,SAC,0.078464508,-2.1286967
Justin Jackson,SAC,-1.7950416,-1.5567389
JaKarr Sampson,SAC,-2.625299,-0.43927127
David Stockton,SAC,,
Kosta Koufos,SAC,-2.7482548,1.6323738
Jack Cooley,SAC,,
Zach Randolph,SAC,-0.84090662,-0.55643618
Kyle Anderson,SAS,-1.4888076,2.2676156
Kawhi Leonard,SAS,4.5923266,1.9027772
Brandon Paul,SAS,,
Derrick White,SAS,-1.7781022,-0.62054062
Dejounte Murray,SAS,-1.3148326,-0.66387618
London Perrantes,SAS,,
Patty Mills,SAS,1.790525,-1.4667573
Tony Parker,SAS,-0.91803193,-1.5601757
Matt Costello,SAS,,
Bryn Forbes,SAS,-1.471552,-1.9332198
LaMarcus Aldridge,SAS,-0.37603617,0.91106069
Danny Green,SAS,-0.28619313,1.7633473
Pau Gasol,SAS,-0.10708141,2.1794755
Manu Ginobili,SAS,0.1809473,1.0732983
Rudy Gay,SAS,-0.58967859,0.59678245
Darrun Hilliard,SAS,-1.7239866,-0.8229906
Amida Brimah,SAS,,
Davis Bertans,SAS,0.0038002431,0.32663867
Joffrey Lauvergne,SAS,-1.3990643,-0.66137964
CJ Miles,TOR,0.32912415,-1.18213
Kennedy Meeks,TOR,-2.1017947,0.72665226
OG Anunoby,TOR,-2.3106999,0.20583361
Lorenzo Brown,TOR,-1.8046929,-0.67169702
Bruno Caboclo,TOR,,
Kyle Lowry,TOR,4.451314,0.10953694
Serge Ibaka,TOR,-0.98244923,0.97301137
DeMar DeRozan,TOR,1.8901042,-1.6274266
Malcolm Miller,TOR,,
Andy Rautins,TOR,,
Jonas Valanciunas,TOR,-0.68202776,0.97566396
Fred VanVleet,TOR,-1.2073519,-0.34559509
Norman Powell,TOR,-0.15087032,-0.86940229
KJ McDaniels,TOR,-1.6114563,-0.28474212
Kyle Wiltjer,TOR,-2.2837095,-1.2002033
Alfonzo McKinnie,TOR,,
Jakob Poeltl,TOR,-1.5233129,1.5279022
Pascal Siakam,TOR,-2.9583042,0.94479346
Delon Wright,TOR,-0.50127685,0.21146782
Lucas Nogueira,TOR,-1.2460885,3.4836397
Joe Ingles,UTA,0.33052817,0.41687205
Ricky Rubio,UTA,1.9701738,0.5824216
Rodney Hood,UTA,0.72027737,-0.64104849
Joe Johnson,UTA,-0.34645784,-1.1434944
Jonas Jerebko,UTA,-1.5422914,0.23477715
Alec Burks,UTA,-1.0136552,-0.97227681
Dante Exum,UTA,-0.60983801,-0.62727034
Tony Bradley,UTA,-2.0040603,-0.583974
Derrick Favors,UTA,-1.1498202,1.9883647
Nate Wolters,UTA,-0.42848134,-0.19816421
Eric Griffin,UTA,,
Joel Bolomboy,UTA,-1.4168173,-0.49390218
Thabo Sefolosha,UTA,-2.2468426,1.9424682
Royce O'Neale,UTA,,
Taylor Braun,UTA,,
Torian Graham,UTA,,
Raul Neto,UTA,-0.87667304,-0.45270139
Rudy Gobert,UTA,-0.011743069,4.944653
Naz Mitrou-Long,UTA,,
Ekpe Udoh,UTA,-3.007472,1.947467
Donovan Mitchell,UTA,-1.323983,-0.8448875
Tim Frazier,WAS,-0.35519361,-1.398261
Chris McCullough,WAS,-1.0728173,1.4317495
John Wall,WAS,3.1773462,0.026242483
Bradley Beal,WAS,3.0003972,-1.4685349
Mike Young,WAS,,
Markieff Morris,WAS,-1.0739514,1.3287562
Devin Robinson,WAS,-2.6873717,-0.29276559
Sheldon McClellan,WAS,-1.459017,-0.60327774
Kelly Oubre Jr.,WAS,-1.0994731,-0.53121436
Marcin Gortat,WAS,-1.7284951,1.3456697
Jason Smith,WAS,-2.4912317,0.65486491
Donald Sloan,WAS,-0.49456728,-1.5629789
