Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jae Crowder,SF,27,CLE,26,663,9.0,.525,.536,.295,3.4,10.1,6.9,5.8,1.3,0.4,10.8,15.6,0.4,0.3,0.6,.045,-1.0,-1.8,-2.8,-0.1
Dante Cunningham,SF,30,NOP,26,600,8.9,.516,.550,.171,5.1,14.2,9.8,3.7,1.2,1.1,5.5,10.6,0.4,0.4,0.8,.064,-1.4,-0.4,-1.7,0.0
Stephen Curry,PG,29,GSW,23,750,27.6,.643,.537,.367,2.4,13.8,8.6,30.6,2.5,0.4,12.4,31.0,3.4,1.0,4.4,.280,8.7,-1.1,7.5,1.8
Troy Daniels,SG,26,PHO,27,415,10.0,.610,.800,.057,0.7,7.2,3.9,3.9,0.8,0.0,10.0,15.9,0.5,0.0,0.4,.050,1.1,-4.2,-3.1,-0.1
Anthony Davis,PF,24,NOP,22,763,28.4,.644,.115,.499,7.9,25.9,17.1,12.6,1.6,3.9,10.1,27.0,3.0,1.0,4.0,.249,3.4,1.4,4.8,1.3
Deyonta Davis,C,21,MEM,12,141,17.1,.642,.000,.257,6.7,22.7,14.7,4.8,1.5,5.9,9.3,14.1,0.3,0.2,0.5,.163,-2.0,2.2,0.3,0.1
Ed Davis,PF,28,POR,24,416,14.9,.530,.000,.437,16.8,27.3,22.1,3.2,1.3,3.3,17.5,13.2,0.5,0.8,1.3,.150,-2.8,1.9,-0.9,0.1
Dewayne Dedmon,C,28,ATL,20,487,18.2,.661,.190,.209,8.9,27.1,17.9,9.4,0.8,3.2,17.3,18.2,0.9,0.5,1.4,.136,0.1,0.8,0.9,0.4
Sam Dekker,SF,23,LAC,20,207,7.5,.412,.458,.139,5.8,15.4,10.5,5.1,1.9,2.1,12.6,18.5,-0.3,0.1,-0.2,-0.038,-4.5,-1.4,-5.9,-0.2
Malcolm Delaney,PG,28,ATL,18,351,8.1,.496,.402,.310,1.6,9.4,5.4,14.0,2.0,0.5,18.2,15.1,-0.1,0.2,0.0,.004,-3.2,-0.8,-4.0,-0.2
Matthew Dellavedova,PG,27,MIL,13,260,7.8,.501,.439,.167,3.2,9.7,6.4,22.3,0.6,0.0,22.9,16.3,-0.1,0.0,0.0,.000,-2.5,-3.7,-6.2,-0.3
Luol Deng,SF,32,LAL,1,13,5.6,.500,.000,.000,0.0,0.0,0.0,10.2,3.6,0.0,33.3,9.6,0.0,0.0,0.0,-0.010,-7.3,-1.3,-8.6,0.0
DeMar DeRozan,SG,28,TOR,23,790,21.9,.566,.150,.430,2.7,12.5,7.8,23.1,1.9,0.4,11.4,29.9,2.0,0.7,2.8,.169,2.3,-0.6,1.7,0.7
Cheick Diallo,PF,21,NOP,15,109,9.3,.563,.000,.188,8.3,24.7,16.8,4.0,0.0,0.8,16.8,16.6,0.0,0.1,0.1,.039,-5.3,-2.7,-8.0,-0.2
Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Gorgui Dieng,C,28,MIN,23,393,16.6,.585,.188,.350,11.1,20.3,15.7,11.0,1.8,0.7,15.1,17.8,0.8,0.3,1.0,.126,1.2,-0.4,0.8,0.3
Spencer Dinwiddie,PG,24,BRK,23,598,18.0,.538,.500,.284,2.6,10.4,6.4,36.5,1.3,1.2,9.1,20.0,1.7,0.4,2.0,.163,3.7,-1.6,2.1,0.6
Tyler Dorsey,SG,21,ATL,8,50,7.2,.506,.706,.235,2.2,15.9,9.0,8.8,0.0,0.0,17.6,20.0,0.0,0.0,0.0,-0.042,-3.8,-4.2,-8.0,-0.1
Damyean Dotson,SG,23,NYK,16,144,9.4,.520,.439,.073,2.4,16.1,9.5,5.9,0.7,0.7,6.6,13.7,0.1,0.1,0.2,.066,-1.7,-1.2,-2.9,0.0
Goran Dragic,PG,31,MIA,24,769,16.6,.556,.316,.265,2.4,11.4,6.9,24.2,1.4,0.2,13.3,25.1,1.0,0.5,1.5,.096,1.3,-1.1,0.1,0.4
